|municipio               |estado|area_km2 |desmatado_2022|incremento_2021_2022|floresta_2022|
|Manicoré                |AM    |5.866,53 |894,48        |76,25               |4.972,05     |
|Novo Aripuanã           |AM    |57.763,14|12.208,94     |165,52              |45.554,2     |
|Lábrea                  |AM    |4.322,67 |573,26        |192,58              |3.749,41     |
|Autazes                 |AM    |54.775,84|24.944,34     |121,11              |29.831,5     |
|Iranduba                |AM    |36.219,47|10.907,85     |178,91              |25.311,62    |
|Novo Aripuanã           |AM    |33.195,96|4.482,28      |30,57               |28.713,68    |
|Benjamin Constant       |AM    |4.531,27 |1.666,31      |173,31              |2.864,96     |
|Eirunepé                |AM    |48.612,41|4.563,64      |186,3               |44.048,77    |
|Eirunepé                |AM    |50.720,54|26.873,46     |68,59               |23.847,08    |
|São Gabriel da Cachoeira|AM    |48.711,11|8.872,89      |189,87              |39.838,22    |
|Tefé                    |AM    |26.323,45|7.542,45      |161,8               |18.781       |
|Maués                   |AM    |21.354,21|5.981,99      |107,56              |15.372,22    |
|Itacoatiara             |AM    |49.462,83|19.203,13     |77,74               |30.259,7     |
|Borba                   |AM    |5.602,62 |3.166,59      |177,61              |2.436,03     |
|Iranduba                |AM    |6.415,7  |1.783,25      |132,26              |4.632,45     |
|Eirunepé                |AM    |54.301,27|6.583,21      |62,48               |47.718,06    |
|Boca do Acre            |AM    |36.103,44|10.130,36     |19,62               |25.973,08    |
|Borba                   |AM    |8.551,58 |2.216,49      |199,97              |6.335,09     |
|São Gabriel da Cachoeira|AM    |34.724,66|13.383,79     |24,38               |21.340,87    |
|Iranduba                |AM    |2.668,74 |1.492,06      |10,06               |1.176,68     |
|Iranduba                |AM    |17.445,2 |7.711,36      |182,34              |9.733,84     |
|Maués                   |AM    |54.488,91|1.546,24      |33,86               |52.942,67    |
|Borba                   |AM    |51.845,44|8.458,74      |139,06              |43.386,7     |
|Novo Aripuanã           |AM    |55.245,96|26.569,47     |124,98              |28.676,49    |
|Lábrea                  |AM    |18.296,56|10.675,49     |111,5               |7.621,07     |
|Iranduba                |AM    |8.075,95 |2.452,77      |17,6                |5.623,18     |
|Lábrea                  |AM    |2.290,06 |731,82        |142,25              |1.558,24     |
|Borba                   |AM    |25.023,45|1.750,35      |26,93               |23.273,1     |
|Parintins               |AM    |5.060,34 |1.185,19      |106,1               |3.875,15     |
|Presidente Figueiredo   |AM    |1.380,55 |643,06        |76,73               |737,49       |
|Humaitá                 |AM    |48.152,19|27.540,82     |56,31               |20.611,37    |
|Tabatinga               |AM    |30.665,34|4.740,36      |134,6               |25.924,98    |
|Novo Aripuanã           |AM    |38.238,96|9.284,01      |34,52               |28.954,95    |
|Maués                   |AM    |12.573,33|1.222,64      |89,06               |11.350,69    |
|Itacoatiara             |AM    |52.958,32|24.212,1      |29,54               |28.746,22    |
|Borba                   |AM    |14.446,13|8.061,2       |30,87               |6.384,93     |
|Tefé                    |AM    |57.498,38|3.215,29      |104,99              |54.283,09    |
|Parintins               |AM    |34.609,79|14.724,36     |44,11               |19.885,43    |
|Humaitá                 |AM    |44.256,37|23.689,36     |48,16               |20.567,01    |
|Boca do Acre            |AM    |24.717,19|5.222,92      |131,38              |19.494,27    |
|Novo Aripuanã           |AM    |56.214,3 |15.927,42     |163,73              |40.286,88    |
|Iranduba                |AM    |1.418,45 |515,99        |135,2               |902,46       |
|Iranduba                |AM    |25.040,75|1.442,01      |142,28              |23.598,74    |
|Benjamin Constant       |AM    |43.072,88|19.708,46     |30,62               |23.364,42    |
|Manaus                  |AM    |49.898,91|9.165,31      |118,35              |40.733,6     |
|Humaitá                 |AM    |35.585,67|7.440,86      |198,99              |28.144,81    |
|Autazes                 |AM    |11.010,18|5.236,71      |105,69              |5.773,47     |
|Manaus                  |AM    |44.413,6 |13.745,7      |10,19               |30.667,9     |
|Coari                   |AM    |32.855,39|3.090,49      |60,84               |29.764,9     |
|Presidente Figueiredo   |AM    |57.724,27|33.159,36     |13,22               |24.564,91    |
|Manaus                  |AM    |24.926,46|4.173,52      |192,48              |20.752,94    |
|Parintins               |AM    |25.237,5 |5.786,48      |129,65              |19.451,02    |
|Itacoatiara             |AM    |44.511,23|24.640,93     |106,61              |19.870,3     |
|Benjamin Constant       |AM    |55.231,04|32.997,55     |70,59               |22.233,49    |
|Iranduba                |AM    |25.057,64|10.642,87     |144,9               |14.414,77    |
|Benjamin Constant       |AM    |26.904,28|5.659,81      |124,03              |21.244,47    |
|Manicoré                |AM    |16.380,26|7.902,28      |90,93               |8.477,98     |
|Parintins               |AM    |15.324,17|7.320,38      |196,48              |8.003,79     |
|Parintins               |AM    |2.220,14 |938,06        |187,29              |1.282,08     |
|Boca do Acre            |AM    |54.828,98|32.432,4      |128,21              |22.396,58    |
|Humaitá                 |AM    |47.684,93|22.406,45     |77,12               |25.278,48    |
|Manacapuru              |AM    |6.518,12 |691,22        |107,73              |5.826,9      |
|Benjamin Constant       |AM    |13.095,5 |5.278,28      |97,06               |7.817,22     |
|Parintins               |AM    |8.202,62 |2.445,62      |163,16              |5.757        |
|Manicoré                |AM    |33.435,86|8.072,11      |57,08               |25.363,75    |
|Iranduba                |AM    |11.995,14|4.326,74      |71,39               |7.668,4      |
|Boca do Acre            |AM    |18.032,1 |10.061,56     |121,4               |7.970,54     |
|Itacoatiara             |AM    |50.007,9 |28.181,59     |63,14               |21.826,31    |
|Tabatinga               |AM    |37.872,3 |7.906,71      |184,63              |29.965,59    |
|Manaus                  |AM    |2.646,48 |1.562,94      |65,78               |1.083,54     |
|Presidente Figueiredo   |AM    |47.510,13|28.380,1      |192,59              |19.130,03    |
|Borba                   |AM    |53.503,81|5.212,09      |15,81               |48.291,72    |
|Borba                   |AM    |51.521,53|12.335,61     |13,39               |39.185,92    |
|Novo Aripuanã           |AM    |12.892,31|2.368,47      |12,39               |10.523,84    |
|Manaus                  |AM    |30.790,89|10.761,91     |171,62              |20.028,98    |
|São Gabriel da Cachoeira|AM    |30.433,33|11.927,86     |144,06              |18.505,47    |
|Itacoatiara             |AM    |7.362,26 |3.026,69      |156,75              |4.335,57     |
|Manacapuru              |AM    |28.187,19|10.182,98     |169,6               |18.004,21    |
|Tabatinga               |AM    |57.387,29|3.514,31      |19,08               |53.872,98    |
|Boca do Acre            |AM    |17.771,46|9.654,82      |144,87              |8.116,64     |
|Lábrea                  |AM    |12.065,75|3.348,02      |15,14               |8.717,73     |
|Tefé                    |AM    |8.299,02 |1.726,95      |24,64               |6.572,07     |
|Itacoatiara             |AM    |41.207,28|15.057,02     |138,53              |26.150,26    |
|Presidente Figueiredo   |AM    |50.078,56|20.383,85     |24,63               |29.694,71    |
|Coari                   |AM    |43.778,97|18.038,66     |137,1               |25.740,31    |
|Itacoatiara             |AM    |40.399,66|9.443,34      |53                  |30.956,32    |
|Maués                   |AM    |20.487,66|9.587,1       |114,95              |10.900,56    |
|Tefé                    |AM    |13.638,24|6.297,35      |100,96              |7.340,89     |
|Tabatinga               |AM    |56.073,02|10.077,96     |39,41               |45.995,06    |
|Itacoatiara             |AM    |4.399,12 |1.617,74      |185,01              |2.781,38     |
|São Gabriel da Cachoeira|AM    |59.743,65|9.446,41      |14,12               |50.297,24    |
|Eirunepé                |AM    |35.392,73|15.487,62     |24,86               |19.905,11    |
|Parintins               |AM    |9.870,79 |2.001,08      |40,05               |7.869,71     |
|Eirunepé                |AM    |33.314,79|534,51        |122,72              |32.780,28    |
|Lábrea                  |AM    |41.952,07|2.629,22      |133,51              |39.322,85    |
|Eirunepé                |AM    |55.487,04|27.380,26     |104,07              |28.106,78    |
|Boca do Acre            |AM    |50.019,8 |24.270,21     |166,77              |25.749,59    |
|Humaitá                 |AM    |24.100,63|13.629,67     |64,15               |10.470,96    |
|Manacapuru              |AM    |40.726,05|12.344,15     |43,39               |28.381,9     |
|Boca do Acre            |AM    |20.899,83|4.680,8       |198,94              |16.219,03    |
|Novo Aripuanã           |AM    |17.984,14|2.214,19      |114,37              |15.769,95    |
|Itacoatiara             |AM    |13.997,07|4.481,46      |159,81              |9.515,61     |
|Manaus                  |AM    |25.939,2 |13.994,38     |197,05              |11.944,82    |
|Parintins               |AM    |10.931,53|2.557,59      |131                 |8.373,94     |
|Itacoatiara             |AM    |33.267,44|12.168,99     |35,86               |21.098,45    |
|Eirunepé                |AM    |4.229,5  |2.446,8       |125,63              |1.782,7      |
|Eirunepé                |AM    |28.097,65|9.351,34      |33,91               |18.746,31    |
|Tefé                    |AM    |15.342,52|2.677,08      |179,14              |12.665,44    |
|São Gabriel da Cachoeira|AM    |21.367,63|7.012,15      |16,51               |14.355,48    |
|Lábrea                  |AM    |55.433,28|15.502,39     |39,4                |39.930,89    |
|Iranduba                |AM    |28.587,4 |14.236,23     |36,92               |14.351,17    |
|Autazes                 |AM    |54.553,82|14.838,94     |124,56              |39.714,88    |
|Eirunepé                |AM    |48.265,33|15.566,3      |121,72              |32.699,03    |
|Manicoré                |AM    |17.018,28|10.194,61     |196,06              |6.823,67     |
|Lábrea                  |AM    |9.838,17 |3.540,75      |109,59              |6.297,42     |
|Coari                   |AM    |37.525,16|5.490,3       |45,37               |32.034,86    |
|Tefé                    |AM    |23.501,95|4.779,1       |78,68               |18.722,85    |
|Manaus                  |AM    |11.553,15|4.002,99      |172,24              |7.550,16     |
|Iranduba                |AM    |22.272,81|1.309,51      |193,57              |20.963,3     |
|Eirunepé                |AM    |35.356,81|5.155,62      |128                 |30.201,19    |
|Maués                   |AM    |38.529,69|2.696,55      |37,81               |35.833,14    |
|Manacapuru              |AM    |52.961,25|17.303,58     |147,58              |35.657,67    |
|Novo Aripuanã           |AM    |22.985,66|6.197,6       |28,77               |16.788,06    |
|Coari                   |AM    |22.287,82|10.584,45     |84,84               |11.703,37    |
|Manaus                  |AM    |22.933,62|3.811,15      |71,69               |19.122,47    |
|Eirunepé                |AM    |34.777,28|11.476,63     |19,13               |23.300,65    |
|Presidente Figueiredo   |AM    |22.670,67|695,14        |161,27              |21.975,53    |
|São Gabriel da Cachoeira|AM    |41.982,72|8.028,03      |100,46              |33.954,69    |
|Borba                   |AM    |46.403,75|16.350,97     |64,28               |30.052,78    |
|Boca do Acre            |AM    |31.249,95|9.678,96      |45,18               |21.570,99    |
|Itacoatiara             |AM    |14.300,05|3.666,58      |80,09               |10.633,47    |
|Boca do Acre            |AM    |37.448,41|11.881,04     |34,76               |25.567,37    |
|Tefé                    |AM    |13.519,53|6.870,95      |35,22               |6.648,58     |
|Manacapuru              |AM    |47.942,02|14.067,41     |63,89               |33.874,61    |
|Coari                   |AM    |4.841,14 |1.099,5       |108,66              |3.741,64     |
|Itacoatiara             |AM    |24.723,48|2.687,71      |190,77              |22.035,77    |
|São Gabriel da Cachoeira|AM    |17.221,73|6.386,17      |178,55              |10.835,56    |
|Benjamin Constant       |AM    |5.058,38 |2.520,59      |17,97               |2.537,79     |
|Itacoatiara             |AM    |22.277,24|12.136,29     |132,15              |10.140,95    |
|Manicoré                |AM    |15.705,73|2.066,35      |140,78              |13.639,38    |
|Novo Aripuanã           |AM    |35.851,16|7.433,8       |168,05              |28.417,36    |
|Maués                   |AM    |39.367,07|23.090,68     |115,41              |16.276,39    |
|Eirunepé                |AM    |32.221,99|16.948,96     |121,52              |15.273,03    |
|Benjamin Constant       |AM    |31.341,93|2.343,46      |60,95               |28.998,47    |
|Tabatinga               |AM    |34.910,37|14.722,46     |178,22              |20.187,91    |
|Itacoatiara             |AM    |24.621,44|1.019,81      |62,22               |23.601,63    |
|Itacoatiara             |AM    |12.655,91|2.599,34      |96,52               |10.056,57    |
|Boca do Acre            |AM    |33.628,44|1.312,16      |196,65              |32.316,28    |
|Tabatinga               |AM    |12.580,49|2.476,41      |77,42               |10.104,08    |
|Autazes                 |AM    |9.983,4  |1.844,65      |180,4               |8.138,75     |
|Autazes                 |AM    |9.135,57 |4.193,7       |82,69               |4.941,87     |
|Humaitá                 |AM    |55.782,71|29.886        |180,53              |25.896,71    |
|Parintins               |AM    |49.421,25|21.142,52     |62,53               |28.278,73    |
|Parintins               |AM    |12.844,74|6.843,53      |22,22               |6.001,21     |
|Parintins               |AM    |30.760,64|4.633,95      |76,51               |26.126,69    |
|Manacapuru              |AM    |14.165,94|2.891,7       |169,75              |11.274,24    |
|Itacoatiara             |AM    |52.106,91|26.376,51     |154,86              |25.730,4     |
